X--Trace 1::[V(2) | V(Input)],Y--Trace 1::[V(2) | V(Input)],,X--Trace 2::[V(3) | V(Output)],Y--Trace 2::[V(3) | V(Output)]
0.002022862,1.073652276,,0.002022862,1.073636669
0.002054112,2.501129736,,0.002054112,2.501114815
0.002085362,3.832490183,,0.002085362,3.832476157
0.002116612,5.016570181,,0.002116612,5.016458514
0.002147862,6.0078662,,0.002147862,5.46204142
0.002179112,6.768283291,,0.002179112,5.505433992
0.002210362,7.268599051,,0.002210362,5.522199396
0.00224005,7.485347018,,0.00224005,5.528103922
0.0022713,7.432936262,,0.0022713,5.526732534
0.00230255,7.094881935,,0.00230255,5.516957091
0.0023338,6.484175273,,0.0023338,5.492933663
0.00236505,5.624285392,,0.00236505,5.412966679
0.002390943,4.746341851,,0.002390943,4.746323081
0.002415819,3.784534242,,0.002415819,3.784562126
0.002426455,3.343714396,,0.002426455,3.343715186
0.002436883,2.89694843,,0.002436883,2.896977037
0.002456698,2.015464802,,0.002456698,2.015480209
0.002487948,0.567382424,,0.002487948,0.567398293
0.002519198,-0.902504142,,0.002519198,-0.902488322
0.002550448,-2.337707981,,0.002550448,-2.337692787
0.002581698,-3.683075012,,0.002581698,-3.68306065
0.002612948,-4.886903537,,0.002612948,-4.886883174
0.002644198,-5.902931099,,0.002644198,-5.452134716
0.002675448,-6.69211233,,0.002675448,-5.502344054
0.002706698,-7.224119436,,0.002706698,-5.520906392
0.002737948,-7.478507684,,0.002737948,-5.527933096
0.002767636,-7.454002441,,0.002767636,-5.527285843
0.002798886,-7.148974636,,0.002798886,-5.518646363
0.002830136,-6.569215744,,0.002830136,-5.496987719
0.002861386,-5.737005576,,0.002861386,-5.431966764
0.00288864,-4.829903499,,0.00288864,-4.829905311
0.002915323,-3.804692253,,0.002915323,-3.804711642
0.002926352,-3.348049543,,0.002926352,-3.348058441
0.002937779,-2.857989347,,0.002937779,-2.858009517
0.00295949,-1.888452622,,0.00295949,-1.888467924
0.00299074,-0.436131326,,0.00299074,-0.436147043
0.00302199,1.032950253,,0.00302199,1.032934626
0.00305324,2.462336134,,0.00305324,2.462321179
0.00308449,3.797095817,,0.00308449,3.797081745
0.00311574,4.985935237,,0.00311574,4.985867945
0.00314699,5.983167963,,0.00314699,5.459852523
0.00317824,6.750470899,,0.00317824,5.504735914
0.00320949,7.258357024,,0.00320949,5.521904257
0.003239177,7.482666098,,0.003239177,5.528035287
0.003270427,7.43830984,,0.003270427,5.526874343
0.003301677,7.108103506,,0.003301677,5.517375016
0.003332927,6.504736741,,0.003332927,5.493941763
0.003364177,5.651396591,,0.003364177,5.418132453
0.00339039,4.766520049,,0.00339039,4.766506594
0.003415705,3.789191413,,0.003415705,3.789217216
0.003426154,3.356392602,,0.003426154,3.356395355
0.003436418,2.917156653,,0.003436418,2.917183172
0.003455921,2.050742484,,0.003455921,2.050757824
0.003487171,0.603920502,,0.003487171,0.603936319
0.003518421,-0.866109806,,0.003518421,-0.866094025
0.003549671,-2.302856,,0.003549671,-2.302840837
0.003580921,-3.65110473,,0.003580921,-3.651090389
0.003612171,-4.859043552,,0.003612171,-4.859026235
0.003643421,-5.880252055,,0.003643421,-5.449750858
0.003674671,-6.67548577,,0.003674671,-5.501646955
0.003705921,-7.21418431,,0.003705921,-5.52061372
0.003735608,-7.469356654,,0.003735608,-5.527693481
0.003766858,-7.457966263,,0.003766858,-5.527389929
0.003798108,-7.159970411,,0.003798108,-5.518983661
0.003829358,-6.586820911,,0.003829358,-5.497790649
0.003860608,-5.760543578,,0.003860608,-5.435281946
0.003888228,-4.844732746,,0.003888228,-4.844736877
0.003915374,-3.802645854,,0.003915374,-3.8026638
0.003926488,-3.342313524,,0.003926488,-3.34232382
0.003938328,-2.834039977,,0.003938328,-2.83405872
0.003960824,-1.827522016,,0.003960824,-1.827537322
0.003992074,-0.37333193,,0.003992074,-0.37334763
0.004,-7.34788E-15,,0.004,-1.55194E-05
