X--Trace 1::[V(1) | V(Input)],Y--Trace 1::[V(1) | V(Input)],,X--Trace 2::[V(2) | V(Output)],Y--Trace 2::[V(2) | V(Output)]
0.002,-1,,0.002,-0.122690288
0.002,-0.8,,0.002,0.077308357
0.002,-0.4,,0.002,0.477306082
0.002000001,0.4,,0.002000001,1.277302476
0.002000001,1,,0.002000001,1.877300221
0.002000001,1,,0.002000001,1.877300213
0.002000001,1,,0.002000001,1.877300199
0.002000001,1,,0.002000001,1.877300173
0.002000002,1,,0.002000002,1.877300119
0.002000003,1,,0.002000003,1.877300012
0.002000004,1,,0.002000004,1.877299799
0.002000008,1,,0.002000008,1.877299371
0.002000015,1,,0.002000015,1.877298517
0.002000028,1,,0.002000028,1.877296808
0.002000056,1,,0.002000056,1.877293389
0.00200011,1,,0.00200011,1.877286552
0.002000219,1,,0.002000219,1.877272878
0.002000438,1,,0.002000438,1.87724553
0.002000875,1,,0.002000875,1.877190835
0.002001749,1,,0.002001749,1.877081451
0.002003497,1,,0.002003497,1.876862702
0.002006993,1,,0.002006993,1.87642528
0.002013985,1,,0.002013985,1.875550741
0.00202797,1,,0.00202797,1.873802886
0.00205454,1,,0.00205454,1.870486446
0.00209454,1,,0.00209454,1.865504812
0.00213454,1,,0.00213454,1.860536443
0.00217454,1,,0.00217454,1.85558131
0.00221454,1,,0.00221454,1.850639373
0.00225454,1,,0.00225454,1.845710597
0.00229454,1,,0.00229454,1.840794947
0.00233454,1,,0.00233454,1.835892387
0.00237454,1,,0.00237454,1.831002884
0.00241454,1,,0.00241454,1.826126402
0.00245454,1,,0.00245454,1.821262907
0.00249454,1,,0.00249454,1.816412363
0.002500001,1,,0.002500001,1.815751153
0.002500001,0.8,,0.002500001,1.615751858
0.002500001,0.4,,0.002500001,1.215753374
0.002500002,-0.4,,0.002500002,0.415757008
0.002500002,-1,,0.002500002,-0.184239226
0.002500002,-1,,0.002500002,-0.184239219
0.002500002,-1,,0.002500002,-0.184239218
0.002500002,-1,,0.002500002,-0.184239218
0.002500002,-1,,0.002500002,-0.184239217
0.002500002,-1,,0.002500002,-0.184239216
0.002500002,-1,,0.002500002,-0.184239214
0.002500003,-1,,0.002500003,-0.184239209
0.002500003,-1,,0.002500003,-0.1842392
0.002500005,-1,,0.002500005,-0.184239181
0.002500008,-1,,0.002500008,-0.184239144
0.002500014,-1,,0.002500014,-0.184239069
0.002500026,-1,,0.002500026,-0.18423892
0.002500049,-1,,0.002500049,-0.184238623
0.002500096,-1,,0.002500096,-0.184238027
0.00250019,-1,,0.00250019,-0.184236835
0.002500378,-1,,0.002500378,-0.184234452
0.002500754,-1,,0.002500754,-0.184229686
0.002501507,-1,,0.002501507,-0.184220153
0.002503011,-1,,0.002503011,-0.18420109
0.002506021,-1,,0.002506021,-0.184162971
0.002512039,-1,,0.002512039,-0.184086758
0.002524076,-1,,0.002524076,-0.183934435
0.00254815,-1,,0.00254815,-0.1836302
0.00258815,-1,,0.00258815,-0.183125918
0.00262815,-1,,0.00262815,-0.182623144
0.00266815,-1,,0.00266815,-0.18212187
0.00270815,-1,,0.00270815,-0.181622092
0.00274815,-1,,0.00274815,-0.181123803
0.00278815,-1,,0.00278815,-0.180626996
0.00282815,-1,,0.00282815,-0.180131667
0.00286815,-1,,0.00286815,-0.179637808
0.00290815,-1,,0.00290815,-0.179145415
0.00294615,-1,,0.00294615,-0.178678991
0.00298615,-1,,0.00298615,-0.178189436
0.003,-1,,0.003,-0.178020272
0.003,-0.8,,0.003,0.021978315
0.003,-0.4,,0.003,0.421975972
0.003000001,0.4,,0.003000001,1.2219723
0.003000001,1,,0.003000001,1.821970018
0.003000001,1,,0.003000001,1.821970011
0.003000001,1,,0.003000001,1.821969999
0.003000001,1,,0.003000001,1.821969975
0.003000002,1,,0.003000002,1.821969928
0.003000003,1,,0.003000003,1.821969834
0.003000004,1,,0.003000004,1.821969645
0.003000007,1,,0.003000007,1.821969268
0.003000013,1,,0.003000013,1.821968513
0.003000026,1,,0.003000026,1.821967003
0.003000051,1,,0.003000051,1.821963984
0.0030001,1,,0.0030001,1.821957946
0.0030002,1,,0.0030002,1.821945869
0.003000399,1,,0.003000399,1.821921717
0.003000796,1,,0.003000796,1.821873412
0.003001592,1,,0.003001592,1.821776807
0.003003182,1,,0.003003182,1.821583612
0.003006364,1,,0.003006364,1.821197283
0.003012727,1,,0.003012727,1.820424871
0.003025452,1,,0.003025452,1.818881031
0.003049631,1,,0.003049631,1.815951338
0.003089631,1,,0.003089631,1.811114938
0.003129631,1,,0.003129631,1.806291415
0.003169631,1,,0.003169631,1.801480743
0.003209631,1,,0.003209631,1.796682882
0.003249631,1,,0.003249631,1.791897797
0.003289631,1,,0.003289631,1.787125457
0.003329631,1,,0.003329631,1.782365825
0.003369631,1,,0.003369631,1.777618869
0.003409631,1,,0.003409631,1.772884554
0.003449631,1,,0.003449631,1.768162848
0.003489631,1,,0.003489631,1.763453716
0.003500001,1,,0.003500001,1.762234887
0.003500001,0.8,,0.003500001,1.562235601
0.003500001,0.4,,0.003500001,1.162237138
0.003500002,-0.4,,0.003500002,0.362240842
0.003500002,-1,,0.003500002,-0.237755249
0.003500002,-1,,0.003500002,-0.237755242
0.003500002,-1,,0.003500002,-0.237755241
0.003500002,-1,,0.003500002,-0.23775524
0.003500002,-1,,0.003500002,-0.237755239
0.003500002,-1,,0.003500002,-0.237755237
0.003500003,-1,,0.003500003,-0.237755233
0.003500003,-1,,0.003500003,-0.237755224
0.003500004,-1,,0.003500004,-0.237755207
0.003500006,-1,,0.003500006,-0.237755172
0.00350001,-1,,0.00350001,-0.237755103
0.003500018,-1,,0.003500018,-0.237754965
0.003500034,-1,,0.003500034,-0.237754689
0.003500067,-1,,0.003500067,-0.237754137
0.003500131,-1,,0.003500131,-0.237753033
0.003500261,-1,,0.003500261,-0.237750824
0.00350052,-1,,0.00350052,-0.237746407
0.003501037,-1,,0.003501037,-0.237737574
0.003502072,-1,,0.003502072,-0.237719908
0.003504142,-1,,0.003504142,-0.237684582
0.003508282,-1,,0.003508282,-0.23761395
0.003516563,-1,,0.003516563,-0.237472766
0.003533124,-1,,0.003533124,-0.237190723
0.003566246,-1,,0.003566246,-0.236627925
0.003606246,-1,,0.003606246,-0.235950535
0.003646246,-1,,0.003646246,-0.235275622
0.003686246,-1,,0.003686246,-0.234603167
0.003726246,-1,,0.003726246,-0.233933153
0.003766246,-1,,0.003766246,-0.233265561
0.003806246,-1,,0.003806246,-0.232600374
0.003846246,-1,,0.003846246,-0.231937575
0.003884246,-1,,0.003884246,-0.231310108
0.003924246,-1,,0.003924246,-0.230651913
0.003964246,-1,,0.003964246,-0.229996056
0.004,-1,,0.004,-0.229411778
