X--Trace 1::[V(1) | V(Input)],Y--Trace 1::[V(1) | V(Input)],,X--Trace 2::[V(3) | V(Output)],Y--Trace 2::[V(3) | V(Output)]
0.008031017,0.484128876,,0.008031017,-3.907922223
0.008062267,0.953319813,,0.008062267,-3.907106486
0.008093517,1.385875204,,0.008093517,-3.906291107
0.008124767,1.765172188,,0.008124767,-3.905476103
0.008156017,2.076634595,,0.008156017,-3.904661484
0.008187267,2.308293099,,0.008187267,-3.90384726
0.008218517,2.451245194,,0.008218517,-3.903033455
0.008249767,2.499997311,,0.008249767,-3.902220086
0.008281017,2.452675933,,0.008281017,-3.901407113
0.008312267,2.311099594,,0.008312267,-3.900594513
0.008343517,2.080708994,,0.008343517,-3.899782306
0.008374767,1.770357915,,0.008374767,-3.898970494
0.008404454,1.412292878,,0.008404454,-3.898199631
0.008435704,0.982710274,,0.008435704,-3.897388563
0.008466954,0.515362665,,0.008466954,-3.896577858
0.008498204,0.028209958,,0.008498204,-3.8957675
0.008529454,-0.460026842,,0.008529454,-3.894957471
0.008560704,-0.930585068,,0.008560704,-3.894147748
0.008591954,-1.365381432,,0.008591954,-3.893338302
0.008623204,-1.747706954,,0.008623204,-3.8925291
0.008654454,-2.062869077,,0.008654454,-3.891722701
0.008685704,-2.298756298,,0.008685704,-3.891294612
0.008716954,-2.446303604,,0.008716954,-3.897330111
0.008748204,-2.499840835,,0.008748204,-3.913091458
0.008779454,-2.457310584,,0.008779454,-3.924851028
0.008810704,-2.320347265,,0.008810704,-3.926626601
0.008841954,-2.094214302,,0.008841954,-3.92593308
0.008873204,-1.787601858,,0.008873204,-3.92511411
0.008902892,-1.432476662,,0.008902892,-3.924335529
0.008934142,-1.00523054,,0.008934142,-3.923515898
0.008965392,-0.539353973,,0.008965392,-3.922696467
0.008996642,-0.052750334,,0.008996642,-3.921877314
0.009027892,0.43588047,,0.009027892,-3.921058482
0.009059142,0.907760632,,0.009059142,-3.92023999
0.009090392,1.344756063,,0.009090392,-3.919421856
0.009121642,1.730073272,,0.009121642,-3.918604096
0.009152892,2.048904735,,0.009152892,-3.91778672
0.009184142,2.288997938,,0.009184142,-3.916969739
0.009215392,2.441126234,,0.009215392,-3.916153171
0.009246642,2.499443418,,0.009246642,-3.915337036
0.009277892,2.461708394,,0.009277892,-3.914521305
0.009309142,2.329371296,,0.009309142,-3.91370595
0.009340392,2.107517766,,0.009340392,-3.912890989
0.009370079,1.821571222,,0.009370079,-3.912117142
0.009401329,1.452522382,,0.009401329,-3.911302946
0.009432579,1.027653921,,0.009432579,-3.910489126
0.009463829,0.563293296,,0.009463829,-3.909675671
0.009495079,0.077285626,,0.009495079,-3.908862566
0.009526329,-0.411692087,,0.009526329,-3.908049791
0.009557579,-0.884848705,,0.009557579,-3.907237323
0.009588829,-1.324001083,,0.009588829,-3.906425135
0.009620079,-1.712272841,,0.009620079,-3.905613192
0.009651329,-2.034742915,,0.009651329,-3.904802637
0.009682579,-2.27901896,,0.009682579,-3.904200154
0.009713829,-2.435713584,,0.009713829,-3.908282474
0.009745079,-2.498805101,,0.009745079,-3.921942435
0.009776329,-2.465868939,,0.009776329,-3.933823701
0.009807579,-2.338170817,,0.009807579,-3.936090628
0.009838829,-2.120618102,,0.009838829,-3.93544658
0.009870079,-1.821571222,,0.009870079,-3.934626374
0.009899767,-1.472428104,,0.009899767,-3.93384614
0.009931017,-1.049978254,,0.009931017,-3.933024574
0.009962267,-0.587178329,,0.009962267,-3.932203164
0.009993517,-0.101813469,,0.009993517,-3.931382018
0.01,-6.12323E-15,,0.01,-3.931211693
