X--Trace 1::[I(Q1:B) | I(Ib)],Y--Trace 1::[I(Q1:B) | I(Ib)],,X--Trace 2::[I(Q1:C) | I(Ic)],Y--Trace 2::[I(Q1:C) | I(Ic)],,X--Trace 3::[V(1) | V(Vb)],Y--Trace 3::[V(1) | V(Vb)]
0,0.000104651,,0,-0.000103507,,0,0.6
0.1,3.14401E-06,,0.1,7.53264E-05,,0.1,0.6
0.2,9.16421E-07,,0.2,7.93601E-05,,0.2,0.6
0.3,8.69738E-07,,0.3,7.95503E-05,,0.3,0.6
0.4,8.68761E-07,,0.4,7.96599E-05,,0.4,0.6
0.5,8.6874E-07,,0.5,7.97678E-05,,0.5,0.6
0.6,8.6874E-07,,0.6,7.98757E-05,,0.6,0.6
0.7,8.6874E-07,,0.7,7.99836E-05,,0.7,0.6
0.8,8.68739E-07,,0.8,8.00915E-05,,0.8,0.6
0.9,8.68739E-07,,0.9,8.01994E-05,,0.9,0.6
1,8.68739E-07,,1,8.03073E-05,,1,0.6
1.1,8.68739E-07,,1.1,8.04152E-05,,1.1,0.6
1.2,8.68739E-07,,1.2,8.05231E-05,,1.2,0.6
1.3,8.68739E-07,,1.3,8.0631E-05,,1.3,0.6
1.4,8.68739E-07,,1.4,8.07389E-05,,1.4,0.6
1.5,8.68738E-07,,1.5,8.08468E-05,,1.5,0.6
1.6,8.68738E-07,,1.6,8.09547E-05,,1.6,0.6
1.7,8.68738E-07,,1.7,8.10626E-05,,1.7,0.6
1.8,8.68738E-07,,1.8,8.11705E-05,,1.8,0.6
1.9,8.68738E-07,,1.9,8.12784E-05,,1.9,0.6
2,8.68738E-07,,2,8.13863E-05,,2,0.6
